,Image,F1,Jaccard,Recall,Precision
61,433.png,0.9096340552651232,0.8342465753424657,0.9983606557377049,0.8353909465020576
62,1306.png,0.946949602122016,0.8992443324937027,0.9272727272727272,0.967479674796748
63,318.png,0.9722222222222222,0.9459459459459459,0.9786184210526315,0.9659090909090909
64,864.png,0.0,0.0,0.0,0.0
65,613.png,0.9644029285533956,0.9312530472940029,0.9535696455317024,0.975485188968335
66,1613.png,0.774247491638796,0.6316507503410641,1.0,0.6316507503410641
67,960.png,0.9250535331905781,0.8605577689243028,0.8852459016393442,0.968609865470852
68,2941.png,0.9496271495967128,0.9040857722399305,0.958819913952059,0.9406089840217063
69,2031.png,0.9119707584526348,0.8381858902575587,0.8467194570135747,0.9881188118811881
70,2750.png,0.8544303797468354,0.7458563535911602,0.7988165680473372,0.9183673469387755
71,304.png,0.9649008066274253,0.9321819713563606,0.9946067415730337,0.936917866215072
72,762.png,0.9054373522458629,0.8272138228941684,0.8665158371040724,0.948019801980198
73,2249.png,0.0,0.0,0.0,0.0
74,1206.png,0.8907103825136612,0.8029556650246306,0.8858695652173914,0.8956043956043956
75,2465.png,0.8021828103683493,0.6697038724373576,1.0,0.6697038724373576
76,222.png,0.9786028949024543,0.958102279728897,0.9866751269035533,0.970661672908864
77,3014.png,0.0,0.0,0.0,0.0
78,1886.png,0.0,0.0,0.0,0.0
79,1530.png,0.9071537290715372,0.83008356545961,0.8895522388059701,0.9254658385093167
80,1739.png,0.8911521323997453,0.8036739380022963,1.0,0.8036739380022963
81,775.png,0.8833266047638272,0.7910339840925524,0.7985401459854015,0.988256549232159
82,3031.png,0.614588549490903,0.4436144578313253,0.4436144578313253,1.0
83,2960.png,0.6351437699680511,0.4653558052434457,0.5419847328244275,0.7669753086419753
84,2724.png,0.8592953689341901,0.7533022533022533,0.7756,0.9632389468455043
85,2187.png,0.9163533834586466,0.8456201214223764,0.9898477157360406,0.8530183727034121
86,2261.png,0.9316851008458035,0.8721071863580999,0.9768076398362893,0.8905472636815921
87,3.png,0.9636259760045706,0.9298052186696067,0.9836702954898912,0.9443822321761851
88,2483.png,0.8820605512878446,0.7890056588520614,0.9606299212598425,0.8153717627401837
89,2311.png,0.894468085106383,0.8090839107005389,0.9021459227467811,0.8869198312236287
90,1720.png,0.793733681462141,0.658008658008658,0.987012987012987,0.6637554585152838
91,975.png,0.8136986301369863,0.6859122401847575,0.6971830985915493,0.9769736842105263
92,2556.png,0.7828890799656062,0.643235605793006,0.9934533551554828,0.6459737495565804
93,201.png,0.8766066838046273,0.7803203661327232,1.0,0.7803203661327232
94,530.png,0.9659318637274549,0.9341085271317829,0.9488188976377953,0.9836734693877551
95,341.png,0.8481735159817352,0.736372646184341,0.7512639029322548,0.9737876802096985
96,510.png,0.9847246891651865,0.9699090272918125,0.9921259842519685,0.9774330042313117
97,1464.png,0.937984496124031,0.8832116788321168,0.9894859813084113,0.891578947368421
98,590.png,0.9657387580299786,0.9337474120082816,0.9667738478027867,0.9647058823529412
99,26.png,0.9051490514905149,0.8267326732673267,0.9881656804733728,0.835
100,1178.png,0.9422776911076443,0.8908554572271387,0.9335394126738794,0.9511811023622048
101,795.png,0.8965219890773211,0.8124511591560302,0.8402478448275862,0.9608749229821318
102,1801.png,0.9168900804289544,0.8465346534653465,0.8814432989690721,0.9553072625698324
103,1396.png,0.882960413080895,0.7904468412942989,0.9922630560928434,0.7953488372093023
104,1249.png,0.9576271186440678,0.9186991869918699,0.9955947136563876,0.9224489795918367
105,561.png,0.6892481395945599,0.5258418167580267,0.528324154209284,0.9911439114391144
106,2479.png,0.8654262224145391,0.7627765064836003,0.8984725965858041,0.8347245409015025
107,1247.png,0.9664634146341463,0.9351032448377581,0.9738863287250384,0.9591527987897126
108,2110.png,0.8484848484848485,0.7368421052631579,0.7846607669616519,0.9236111111111112
109,1310.png,0.891044776119403,0.8034993270524899,0.9567307692307693,0.8337988826815642
110,798.png,0.9176470588235294,0.8478260869565217,0.9441340782122905,0.8926056338028169
111,2688.png,0.0,0.0,0.0,0.0
112,193.png,0.903014723066137,0.8231785257775884,1.0,0.8231785257775884
113,2135.png,0.04819277108433735,0.024691358024691357,0.024691358024691357,1.0
114,684.png,0.9861676159479251,0.9727126805778491,0.9873727087576375,0.9849654611946363
115,2471.png,0.5149700598802395,0.3467741935483871,0.9974226804123711,0.347085201793722
116,1920.png,0.9151500827227605,0.8435729847494553,0.900046490004649,0.9307692307692308
117,639.png,0.05084745762711865,0.02608695652173913,0.02608695652173913,1.0
118,279.png,0.971729755630091,0.9450139794967382,0.9816069699903195,0.9620493358633776
119,581.png,0.9654611946363267,0.9332285938727416,0.9777777777777777,0.9534510433386838
120,1081.png,0.9414917373827602,0.889451476793249,0.9031705227077977,0.9832089552238806
121,1545.png,0.6544980443285529,0.48643410852713176,0.5273109243697479,0.8625429553264605
122,661.png,0.9700800674252001,0.94189852700491,0.9599666388657214,0.9804088586030665
123,1561.png,0.8950542822677925,0.8100436681222707,0.9973118279569892,0.811816192560175
124,2963.png,0.7142857142857143,0.5555555555555556,0.7189014539579968,0.7097288676236044
125,2943.png,0.9383458646616541,0.8838526912181303,0.9313432835820895,0.9454545454545454
126,2217.png,0.8349436392914654,0.7166551485832757,0.7487364620938628,0.9435850773430391
127,1283.png,0.9330024813895782,0.8744186046511628,0.9665809768637532,0.9016786570743405
